Date,Star Rating,Comment,Subcategory,Feedback Category
Tue Oct 11 00:00:00 GMT 2022,1,"First it said they tried to deliver and were not here. Next it said they would not deliver since it is a non school day. (We were here)
Now it left at 9:17 snd says it will be delivered today. They know we are a school site snd close at 4:00. It is now 3:45.",Delivery Attempt After Hours,Shipping/Delivery
Tue Oct 11 00:00:00 GMT 2022,1,Did not receive book order.,Delayed/Never Received Order,Shipping/Delivery
Tue Oct 11 00:00:00 GMT 2022,2,I am missing a pack of books from my order.,Item Missing,Shipping/Delivery
Tue Oct 11 00:00:00 GMT 2022,1,My books have not been getting delivered to me on time or even by the time you say. This has happened every time. My coworker will order books on the same day and their books will arrive on time but mine show up 3 days later.  I would like to know why this keeps happening.,Delayed/Never Received Order,Shipping/Delivery
Tue Oct 11 00:00:00 GMT 2022,5,Rate we received the books and the price.,All Other,All Other
Mon Oct 10 00:00:00 GMT 2022,1,Poor delivery.,All Other,All Other
Mon Oct 10 00:00:00 GMT 2022,5,"Amazing that with our very large order, there were only 2 missing books.  Great Job!",Item Missing,Shipping/Delivery
Mon Oct 10 00:00:00 GMT 2022,5,Left at door. No issues!,Thanks/Praise,Thanks/Praise
Mon Oct 10 00:00:00 GMT 2022,5,Scholastic was a bit of a disaster last school year.  I was thrilled to see that the company is back on track this year.  Mason Diaz is still missing one of his books.  Any word on when it will arrive??,Item Missing,Shipping/Delivery
Mon Oct 10 00:00:00 GMT 2022,1,i did not get my package,Delayed/Never Received Order,Shipping/Delivery
Mon Oct 10 00:00:00 GMT 2022,5,Ease and quickness of delivery,Fast Shipping!,Thanks/Praise
Sun Oct 09 00:00:00 GMT 2022,1,I receied over a dozen damaged books with 2 books missing and now have to sort through and return these books for families.  There was no packing slip or anything included with my order.,Item Missing,Shipping/Delivery
Sun Oct 09 00:00:00 GMT 2022,1,I receied over a dozen damaged books with 2 books missing and now have to sort through and return these books for families.  There was no packing slip or anything included with my order.,All Other,Item Damaged
Sun Oct 09 00:00:00 GMT 2022,1,I receied over a dozen damaged books with 2 books missing and now have to sort through and return these books for families.  There was no packing slip or anything included with my order.,All Other,Itemized Order List/Packing Slip
Sun Oct 09 00:00:00 GMT 2022,5,Great,Thanks/Praise,Thanks/Praise
Sun Oct 09 00:00:00 GMT 2022,1,You continue to try to deliver my books to a SCHOOL after 5pm and on the weekend! THE WORST!!!!,Delivery Attempt After Hours,Shipping/Delivery
Sun Oct 09 00:00:00 GMT 2022,1,You continue to try to deliver my books to a SCHOOL after 5pm and on the weekend! THE WORST!!!!,Delivery Attempt After Hours,Shipping/Delivery
Sat Oct 08 00:00:00 GMT 2022,5,Fast delivery with a smile!,Fast Shipping!,Thanks/Praise
Sat Oct 08 00:00:00 GMT 2022,5,The box arrived in plenty of time.,Fast Shipping!,Thanks/Praise
Sat Oct 08 00:00:00 GMT 2022,5,Easy as always!,Thanks/Praise,Thanks/Praise
Sat Oct 08 00:00:00 GMT 2022,1,"I am puzzled you would attempt to deliver a book order to an elementary school on a Saturday. The office is open M-F, 8 am to 4:30 pm.",Delivery Attempt After Hours,Shipping/Delivery
Sat Oct 08 00:00:00 GMT 2022,5,Excellent service!,Thanks/Praise,Thanks/Praise
Sat Oct 08 00:00:00 GMT 2022,5,The ability to check when the student books will arrive. Great experience.,Thanks/Praise,Thanks/Praise
Fri Oct 07 00:00:00 GMT 2022,1,I only received 4 out of the 5 sets of book bins that I ordered.  Where do I send correspondence to hopefully get the set that I am missing?,Item Missing,Shipping/Delivery
Fri Oct 07 00:00:00 GMT 2022,5,I always find what I need for my classroom.,Thanks/Praise,Thanks/Praise
Fri Oct 07 00:00:00 GMT 2022,5,On time arrival!!,Thanks/Praise,Thanks/Praise
Fri Oct 07 00:00:00 GMT 2022,1,I am missing books,Item Missing,Shipping/Delivery
Fri Oct 07 00:00:00 GMT 2022,5,"missing one book from the box, it says not shipped, wondering why? It does not state.",Item Missing,Shipping/Delivery
Fri Oct 07 00:00:00 GMT 2022,5,Thanks for the quick service!,Fast Shipping!,Thanks/Praise
Fri Oct 07 00:00:00 GMT 2022,5,Much improved from last year!,Thanks/Praise,Thanks/Praise
Fri Oct 07 00:00:00 GMT 2022,5,It is nice to feel like everything is smooth and back to normal.,Thanks/Praise,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,5,Books arrived quickly. Thank you,Fast Shipping!,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,4,Only took a week to get books. I loved the rewards. One book was missing but live chat was quick to help.,Fast Shipping!,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,4,Only took a week to get books. I loved the rewards. One book was missing but live chat was quick to help.,Item Missing,Shipping/Delivery
Thu Oct 06 00:00:00 GMT 2022,5,My box was intact and delivered during business hours.,Thanks/Praise,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,1,I ordered my books a month ago and still have not received them!!!,Delayed/Never Received Order,Shipping/Delivery
Thu Oct 06 00:00:00 GMT 2022,1,Book box was never delivered.,Delayed/Never Received Order,Shipping/Delivery
Thu Oct 06 00:00:00 GMT 2022,3,Waiting on our second box and a book was ripped.,All Other,Item Damaged
Thu Oct 06 00:00:00 GMT 2022,5,Ease of website,Thanks/Praise,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,5,Awesome,Thanks/Praise,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2022,5,Love the quick turn around and the tracking through textsâ¤ï¸,Fast Shipping!,Thanks/Praise
Thu Oct 06 00:00:00 GMT 2023,1,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2024,1,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2025,1,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2026,1,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2027,2,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2028,2,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2029,3,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2030,3,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2031,3,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2032,3,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2033,3,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2034,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2035,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2036,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2037,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2038,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2039,4,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2040,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2041,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2042,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2043,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2044,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2045,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2046,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2047,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2048,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2049,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2050,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2051,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2052,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2053,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2054,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2055,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2056,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2057,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2058,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2059,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2060,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2061,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2062,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2063,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2064,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2065,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2066,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2067,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2068,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2069,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2070,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2071,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2072,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2073,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2074,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2075,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2076,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2077,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2078,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2079,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2080,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2081,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2082,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2083,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2084,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2085,5,No Comment,No Comment,No Comment
Thu Oct 06 00:00:00 GMT 2086,5,No Comment,No Comment,No Comment
